10002003001984,10002003001984,2016-07-01 10:33:00,Opening Balance,0.00,0.00,76304.69
10002003001984,10002003001984,2016-07-01 12:49:00,House insurance,0.00,11054.34,65250.35
10002003001984,10002003001984,2016-07-02 08:47:00,electricity,0.00,24610.87,40639.48
10002003001984,10002003001984,2016-07-03 08:45:00,Life / Disability / Extended health,0.00,9836.04,30803.44
10002003001984,10002003001984,2016-07-03 10:05:00,Bank fees,0.00,9897.57,20905.87
10002003001984,10002003001984,2016-07-03 05:25:00,Debt payments for your debt repayment plan,0.00,3484.63,17421.24
10002003001984,10002003001984,2016-07-03 08:11:00,Rent,0.00,13247.35,4173.89
10002003001984,10002003001984,2016-07-03 15:21:00,Gifts,0.00,1626.95,2546.94
10002003001984,10002003001984,2016-07-03 13:52:00,Clothing & shoes,0.00,6.72,2540.22
10002003001984,10002003001984,2016-07-04 15:44:00,Personal care items,0.00,325.87,2214.35
10002003001984,10002003001984,2016-07-04 12:42:00,Clothing & shoes,0.00,12.01,2202.34
10002003001984,10002003001984,2016-07-04 15:39:00,fuel,0.00,1733.01,469.33
10002003001984,10002003001984,2016-07-07 14:19:00,Tobacco,0.00,143.57,325.76
10002003001984,10002003001984,2016-07-08 10:00:00,Clothing & shoes,0.00,10.78,314.98
10002003001984,10002003001984,2016-07-14 07:16:00,alcohol,0.00,165.19,149.79
10002003001984,10002003001984,2016-07-21 05:35:00,Clothing & shoes,0.00,7.68,142.11
10002003001984,10002003001984,2016-07-25 15:30:00,Clothing & shoes,0.00,8.16,133.95
10002003001984,10002003001984,2016-07-26 06:24:00,Magazines / newspapers / books,0.00,121.35,12.60
