10002003001983,10002003001983,2016-12-01 05:07:00,Opening Balance,0.00,0.00,42313.04
10002003001983,10002003001983,2016-12-01 12:10:00,House insurance,0.00,12853.94,29459.10
10002003001983,10002003001983,2016-12-01 14:51:00,electricity,0.00,24961.33,4497.77
10002003001983,10002003001983,2016-12-01 10:19:00,Bank fees,0.00,3069.52,1428.25
10002003001983,10002003001983,2016-12-03 06:07:00,alcohol,0.00,184.50,1243.75
10002003001983,10002003001983,2016-12-03 12:35:00,Children's lessons and activities,0.00,1228.16,15.59
10002003001983,10002003001983,2016-12-05 08:26:00,Clothing & shoes,0.00,8.14,7.45
10002003001983,10002003001983,2016-12-15 13:20:00,Deposit Info,54684.14,0.00,54691.59
10002003001983,10002003001983,2016-12-15 05:23:00,Hair care / salon services,0.00,349.03,54342.56
10002003001983,10002003001983,2016-12-16 09:14:00,Lottery,0.00,101.63,54240.93
10002003001983,10002003001983,2016-12-16 11:05:00,Daycare,0.00,11073.85,43167.08
10002003001983,10002003001983,2016-12-16 07:04:00,Magazines / newspapers / books,0.00,123.81,43043.27
10002003001983,10002003001983,2016-12-16 09:05:00,Work lunches & snacks,0.00,1708.52,41334.75
10002003001983,10002003001983,2016-12-17 09:31:00,fuel,0.00,1715.04,39619.71
10002003001983,10002003001983,2016-12-17 10:39:00,Babysitting,0.00,8621.57,30998.14
10002003001983,10002003001983,2016-12-17 11:31:00,Clothing & shoes,0.00,9.51,30988.63
10002003001983,10002003001983,2016-12-17 05:13:00,Eating out,0.00,4128.11,26860.52
10002003001983,10002003001983,2016-12-18 07:47:00,Clothing & shoes,0.00,6.35,26854.17
10002003001983,10002003001983,2016-12-20 08:55:00,Health expenses,0.00,7425.30,19428.87
10002003001983,10002003001983,2016-12-20 15:20:00,Recreation & other Hoobies,0.00,1373.89,18054.98
10002003001983,10002003001983,2016-12-20 12:15:00,Personal care items,0.00,858.21,17196.77
10002003001983,10002003001983,2016-12-21 06:05:00,Vehicle maintenance,0.00,15708.33,1488.44
10002003001983,10002003001983,2016-12-23 09:47:00,Tobacco,0.00,195.07,1293.37
10002003001983,10002003001983,2016-12-23 08:47:00,Groceries,0.00,700.52,592.85
10002003001983,10002003001983,2016-12-24 09:36:00,Clothing & shoes,0.00,9.15,583.70
